Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C7",0603,3,0.1u,
"C2, C8, C9",0805,3,10u,
C3,0805,1,1u,
"C4, C5, C6",CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder,3,100uF,
"D1, D2",0603,2,LED,
F1,0603,1,100mA Fuse,
"J2, J3, J6",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,3,USB_C_Receptacle_USB2.0_16P,
J4,USB-A-SMD_11.0180CB1.9,1,USB_A,
J5,SUNTECH_ST-TF-003A,1,Micro_SD_Card,
"R1, R2",0402,2,5.1k,
"R3, R8",0402,2,1k,
"R4, R5, R6, R7",0402,4,22K,
U1,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,1,CH334P,C5373042
U2,SOT-23,1,CH213K,
"U3, U4, U6, U7",SOT-23-6,4,USBLC6-2SC6,
U8,SSOP-16_L4.9-W3.9-P0.64-LS6.0-BL,1,GL823K-HCY04,C284879
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,	Crystal 12MHz,
